final list,gamma list,circular list
39721938,30216,0
139088162,112083,0
231907695,195410,0
313585297,281299,0
386632931,369985,0
450760171,459384,0
616713163,684174,0
569329990,691769,0
741118637,985644,0
660016823,963507,0
836099858,1339571,0
878958591,1556474,0
915588853,1788072,0
947016855,2037848,0
973573872,2303348,0
995730083,2583913,0
1186694360,3396818,0
1034904432,3257178,0
1223896433,4223411,0
1060611970,4003277,0
1247472531,5135892,0
1257672937,5670184,0
1448062111,7172267,0
1274470502,6913119,0
1277493951,7518040,0
1464873254,9392304,0
1469570690,10283003,0
1287567175,9749998,0
1659111392,13629251,0
1480140463,13215098,0
1484025950,14286525,0
1677926952,17446652,0
1501639495,16809695,0
1706032443,20497305,0
1735468672,22382957,0
1785611386,24597430,0
1936861773,27337995,162054441
2294527915,32322827,443777858
2147781068,31664902,234202018
1823878749,27152079,155959126
1917905110,28521596,140959344
1992576362,29433069,129758290
1713035354,25042888,101606375
1783379082,25749545,98185139
1686518286,23993316,87020168
1596742192,22399283,77971677
1512112004,20909782,70448539
1433880466,19500260,64077135
1481013673,19812638,63734118
1402054356,18486586,58222981
1327341758,17187914,53431018
1258334225,16006471,49218416
1290586057,16164292,49162423
1221419723,15069408,45363005
1156724369,14030863,41982134
1095862481,13063242,38954538
1117723227,13064534,38940406
1057911890,12145397,36155054
1001662334,11307534,33643366
949218283,10567905,31366884
963340725,10590588,31337389
911965036,9913244,29221952
863797005,9301332,27296666
818683916,8735065,25538955
827324132,8719363,25486370
783511295,8145873,23843196
742240234,7606006,22338243
747205956,7536582,22235654
707244851,7053769,20829709
670173208,6623945,19539163
671985415,6592130,19405728
636190530,6197910,18202849
602728237,5831818,17093865
602525583,5793807,16942715
570455987,5455216,15910003
568393377,5404743,15726372
511473333,4837248,14044908
510253270,4796830,13912676
507258628,4731053,13732384
480178635,4420886,12909033
454801460,4129028,12147711
451221092,4038887,11976214
427194623,3773280,11269907
404809682,3527989,10615707
400966066,3446123,10454393
395999095,3357978,10267415
374782768,3124007,9663982
354865767,2903969,9106149
350223607,2811121,8936252
331556741,2617658,8420184
326465403,2541905,8252647
309234064,2379526,7777617
292947664,2228426,7336338
298615616,2248639,7447790
272849028,2034485,6770761
277384338,2051977,6857389
253424509,1859032,6243844
257441624,1874090,6309633
243436414,1759425,5948070
230668915,1656838,5612447
225656836,1611103,5472476
220500239,1565416,5328300
208912273,1474590,5026813
203730828,1433229,4891632
193234575,1350234,4616432
188282724,1310380,4489742
183726437,1271217,4361684
173671747,1197467,4116678
169522578,1162842,3997921
164611736,1125611,3878018
156125882,1060856,3661087
151596307,1028002,3550575
147569495,996324,3440422
143076544,962953,3330387
135533320,907700,3144257
131534272,877667,3043679
127414556,848278,2944063
123791287,817941,2845888
116901465,770038,2687592
116053094,759818,2655878
109675872,716156,2507555
106088511,689697,2420888
102957355,662621,2336028
97166580,623248,2206878
96042678,611142,2173628
92838735,586373,2094421
87585180,551305,1978258
86545923,538595,1943366
81921751,505906,1835811
80266562,493662,1800751
76223698,462358,1701127
74850939,448228,1666550
70575135,420160,1574359
69379089,407564,1540656
66981617,385624,1480234
63147149,358408,1398690
61849231,345261,1366636
59720824,325027,1312438
58165922,309580,1279789
54946818,284594,1209073
53801912,268732,1178135
51879495,246741,1129915
49581104,226826,1083665
48270105,211876,1054015
46486518,194975,1009930
44735270,178126,967781
42684238,163297,927222
41491839,153778,900414
40436567,144758,873410
38933695,132939,835826
37164359,121052,800019
35970576,112719,775170
34510315,105860,741572
33611338,101221,717898
32231621,93594,686528
31363851,87973,671622
29648870,80381,634723
29085119,76657,620232
27978314,72712,592537
27119962,67353,572161
26025498,61854,552225
24854917,56766,527350
24037101,53164,508668
23500028,51583,495269
22603551,50060,472521
21720934,47085,455398
20800659,43539,438571
20036758,40436,422170
19354807,37438,406393
18870364,34691,394427
18138125,32291,376033
17633750,30289,364653
16818270,27263,350482
16153747,25280,336730
15544066,24105,323514
15089738,22897,313135
14574992,21122,300711
14164156,20052,290694
13666247,19937,278938
13043697,19267,269565
12516471,18519,258500
12055174,17658,249610
11692164,16355,240876
11232242,15048,230801
10965902,13032,224059
10608613,10565,214548
10273528,9662,206777
9817703,8830,199140
9358012,8458,190695
9058888,8579,184652
8772437,8861,178762
8431854,9684,171015
8127343,10530,164431
7900497,10205,158977
7676706,9028,153629
7397295,6422,146819
2944688,2209,57971
0,0,0
0,0,0
