final list,circular list
13178718,0
79913847,0
156557850,0
227655881,0
291292570,0
347649253,0
482875474,0
450045864,0
590387386,0
528486195,0
672177385,0
708861417,0
741354693,0
768706201,0
792723991,0
813777599,0
973083804,0
851680171,0
1011334791,0
880147089,0
1039911612,0
1053428225,0
1219392752,0
1079094736,0
1088263940,0
1254892308,0
1266951328,0
1117551013,0
1450027451,0
1302897304,0
1315712463,0
1499240194,0
1352657659,0
1548760854,0
1589757459,0
1649144516,0
1814326397,902121
2178793785,2323048
2047034261,1216792
1753354060,818818
1859426230,749730
1948157345,695186
1690755976,548574
1776101702,536080
1696556688,481013
1621940207,434529
1551196105,395754
1485570558,364105
1550946323,366035
1483435504,338272
1419626119,313816
1359774799,292294
1410159116,295385
1349130024,275424
1291882723,257737
1238041328,241907
1276860593,244647
1222293649,229707
1171017262,216411
1122633148,204119
1152730691,206272
1104142785,194575
1058363096,183946
1015337841,174226
1038675998,176866
995417764,167141
954945189,158045
972897429,158954
932929166,151134
894767047,145063
908796480,144494
871119133,136497
835765676,131126
846837790,132369
811944410,123809
819087874,124380
747115312,115130
755387992,112267
760392400,113537
729486709,109928
700363851,100945
704014678,105708
675379585,97545
649263932,93437
650985981,95460
651901274,90996
626274975,92294
599836347,82013
601426938,88175
576091602,77790
576446877,83887
552450572,73692
531269649,77241
549263684,72186
508650700,73817
524341537,67995
486401071,70130
500555234,64818
480363262,67637
461437474,61101
458063183,60772
454120734,64080
436595911,54265
431621319,61521
415551286,52776
410139710,53353
406995729,57888
390256924,47181
385303128,52733
381896995,51112
365033790,44255
361489666,50342
356832260,46369
349811945,42145
337957963,46830
332386694,43489
325725301,38548
322198960,42942
309495440,43121
309737099,35494
298878625,37116
294224517,42775
287121703,34184
276477757,32309
278350888,36292
271902533,39331
260484919,28968
261955252,30688
251566185,33574
250518690,36056
240166636,26167
240597262,27737
230703065,29481
229896283,34646
224210668,25104
216612187,23987
214750420,25668
209671595,29470
208154615,29352
200161858,21030
198550134,22052
193038425,23169
188670403,26413
187163283,27642
182870944,18723
177887688,19167
172757009,19897
170918287,21590
169271188,26545
165211796,20389
160503446,16385
157272305,16955
152912793,17545
151027627,18802
147766376,22467
148016839,21276
141514839,13904
139784843,14437
135812161,14749
133581402,15423
131619737,16500
128757459,19442
127213393,20134
124192709,11872
120137797,12003
117435363,12269
115189959,12660
113281071,13182
111438888,14052
111216902,16228
108436691,19420
105417847,10427
102557216,9804
100198969,9957
97922885,10146
96686252,10493
94854594,10818
93677815,11469
92768736,12426
91087043,15777
88320204,14702
85413599,7683
83790662,7809
81260350,7864
80591604,8065
78533188,8183
77258190,8400
76141012,8654
74922731,8974
74443971,9625
73231824,10726
71335566,14315
69410846,11346
67798612,5792
66151903,5875
64467522,5902
25986404,2418
0,0
0,0
