final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,41311206
0,0,0,0,0,0,0,0,0,0,0,26187206
0,0,0,0,0,0,0,0,0,0,24148252,42329688
0,0,0,0,0,0,0,0,0,0,35845870,50485106
0,0,0,0,0,0,0,0,0,3335638,23429464,35880098
0,0,0,0,0,0,0,0,0,38487396,53949696,64869224
0,0,0,0,0,0,0,0,0,24923158,37818756,47590452
0,0,0,0,0,0,0,0,11397526,28517496,39702092,48552020
0,0,0,0,0,0,0,0,37416378,51170462,61102950,69203444
0,0,0,0,0,0,0,0,20891020,32597792,41551996,49020068
0,0,0,0,0,0,0,15987262,31399016,41675376,49845918,56778680
0,0,0,0,0,0,0,34702416,47357622,56556198,64070040,70530376
0,0,0,0,0,0,0,18817440,29512496,37699754,44525056,50452868
0,0,0,0,0,0,14152084,28681870,38334564,45992482,52477494,58157352
0,0,0,0,0,0,34192976,46227700,54912856,61982530,68044468,73395180
0,0,0,0,0,0,18887886,29303148,37215786,43788756,49480156,54530378
0,0,0,0,0,7612944,21824728,31074646,38348892,44484062,49840744,54615152
0,0,0,0,0,34838532,46622118,54970964,61712686,67463388,72515600,77040064
0,0,0,0,0,20116512,30315262,37939748,44220984,49629406,54407794,58703408
0,0,0,0,0,14606600,23667070,30693760,36563464,41665426,46197452,50286106
0,0,0,0,28766246,40732912,48923354,55442992,60959272,65782634,70085810,73975464
0,0,0,0,26046314,36359688,43849650,49935866,55132154,59701990,63797808,67507168
0,0,0,0,16143278,25281756,32193424,37896764,42806094,47147478,51046684,54583710
0,0,0,6345712,19163302,27416628,33840348,39202602,43856018,47985268,51704976,55094742
0,0,0,34910968,45806218,53351502,59361302,64429036,68851214,72787832,76341176,79570946
0,0,0,20341780,29750898,36582966,42111584,46814750,50938826,54622714,57958750,60992704
0,0,0,15027684,23665080,30152878,35471352,40026860,44038302,47625078,50883902,53849400
0,0,8821272,21170018,29054000,35130266,40160588,44495206,48324762,51755920,54874648,57715572
0,0,36820970,47511250,54781914,60494408,65264836,69394882,73053298,76330032,79311450,82038944
0,0,21340760,30876044,37647218,43035342,47570552,51511548,55005590,58160536,61023748,63637812
0,0,15830052,24504462,30845000,35947758,40269242,44037506,47391850,50411874,53160064,55669454
0,3742394,16967536,24960968,30937336,35791344,39911440,43519708,46733956,49636968,52278494,54690374
0,43314738,54932358,62380132,68034120,72655298,76602662,80062078,83141802,85929394,88465848,90784596
0,29091810,39604980,46599432,51970442,56385456,60164466,63482592,66449284,69128620,71569156,73796364
0,21086836,30792066,37406826,42529484,46754652,50380432,53576372,56426450,59004296,61351302,63496124
0,18005520,27103402,33396180,38296356,42352772,45837660,48916190,51661992,54143124,56403366,58465802
69921834,88671216,97304234,103326372,108021578,111919192,115271148,118220726,120863844,123253834,125430098,127418108
53225734,78600224,92070136,97743626,102174958,105851682,109017772,111810538,114309580,116567434,118623900,120498878
5374194,27053652,44224964,53750298,58107602,61727810,64843752,67587564,70045612,72267248,74291078,76137002
4084276,25166734,38174568,53251206,57462444,60956884,63958600,66606892,68973798,71115436,73064044,74842308
3419616,27014648,38777936,49435978,60980764,64356998,67257622,69816762,72105262,74174066,76055810,77770792
2987388,38937136,50095862,59337820,71410354,74681516,77491396,79965762,82175458,84175010,85991880,87643580
2678142,18235564,29133202,37609806,46313270,53404038,56122378,58513164,60649628,62579928,64333516,65926710
2440536,8277604,19203898,27181012,34777638,47535130,50169890,52483066,54547094,56412122,58101234,59640300
2253476,7279022,18616848,26244120,33182056,41575478,44129046,46368990,48366154,50168298,51801292,53286628
2097460,6625506,19123502,26506004,32982260,39991040,45031710,47201606,49135090,50879922,52458788,53892782
1962538,6118056,23242006,30469686,36602866,42860620,55277424,57383242,59255434,60944944,62471672,63857508
1848710,5718066,26485706,33640552,39499510,45263744,53331204,55371750,57187028,58820022,60297398,61636270
1748812,5380562,10615854,17786222,23424290,28811220,35322898,37304142,39061312,40642566,42070192,43365682
1662048,5086042,9276186,16596998,22059548,27149968,32869626,35423194,37127430,38656944,40037606,41286530
1551404,4733414,8404168,15906866,21122258,25881144,30989474,42343220,43966264,45420556,46730772,47914822
1512400,4605258,8047560,16439788,21653190,26302228,31136336,39635228,41240362,42675948,43969448,45135986
1449914,4399890,7615332,18140840,23278224,27753734,32289342,38609980,40166558,41558762,42812064,43940394
1388224,4214820,7248376,23386480,28483666,32809926,37101162,42508390,44023178,45374786,46590278,47680798
1335290,4043680,6917240,12468544,17567322,21767814,25852090,30696148,32166758,33479362,34654656,35710152
