final list,gamma list
207594,54657
131594,34647
91364,24061
73564,19361
62566,16482
147694,66580
231560,115394
145062,68187
117016,53572
100880,45454
89650,39970
128798,35830
251466,32017
171902,30009
139112,27762
121210,25848
108876,24195
99442,22639
127322,30705
259236,65958
181122,45711
148398,37461
130940,33036
118842,30018
109534,27689
100034,25363
113590,34370
269722,123756
200878,86632
162332,66386
143864,57163
131580,51408
122382,47261
115032,43999
108980,41379
103834,39300
802134,37590
645994,45180
195648,62658
158192,49400
143302,45012
178732,54415
161240,50148
144430,46067
136814,44689
133002,44611
133276,46395
144626,53893
220300,72734
136222,31202
106962,23745
99944,22510
93708,21245
88968,20332
85124,19552
81926,18960
79232,18312
76966,17801
75136,17441
73844,17184
73210,17104
73926,17402
87970,23956
145120,51162
96190,32464
76886,24914
70306,22112
65890,20274
62440,18881
59680,17814
57274,16896
55204,16118
53384,15494
51710,14908
50186,14323
47862,13441
47562,13205
46414,12718
45456,12327
44650,11991
43914,11630
43550,11361
43626,11073
45124,10756
53936,10460
43086,10147
35576,9866
34040,9576
32194,9150
31850,9150
30974,8970
30122,8775
29320,8584
28590,8390
27922,8219
27248,8040
26568,7855
25990,7705
25396,7521
24808,7341
24282,7143
23272,6807
23262,6795
22744,6670
22268,6561
21826,6458
21350,6358
20942,6246
20528,6135
20152,6048
19752,5942
19426,5857
19068,5774
18388,5585
18490,5635
18256,5587
18042,5548
17980,5590
18092,5813
19186,6486
21672,7973
16234,5008
15276,4538
14798,4344
14376,4153
14008,4015
13408,3816
13362,3784
13074,3692
12780,3598
12526,3521
12248,3451
11984,3384
11762,3328
11502,3267
11268,3207
11056,3144
10790,3086
10638,3033
10190,2919
18812,5203
60544,16185
40012,10794
31416,8531
27352,7458
24744,6794
22842,6286
21434,5909
20236,5590
19234,5317
18360,5102
17284,4796
16960,4699
16338,4517
15778,4372
15262,4218
14774,4071
14366,3979
13944,3857
13514,3739
13138,3647
12848,3577
12398,3449
12164,3369
11626,3238
11512,3185
11292,3153
10984,3061
10714,2984
10542,2954
10146,2823
10094,2852
9690,2702
9664,2736
9226,2559
9244,2624
8832,2441
8648,2406
8524,2337
8368,2287
8210,2259
8002,2179
7904,2158
7706,2114
7444,2012
7470,2058
7224,1971
7008,1909
6998,1943
6656,1821
6516,1758
6710,1880
6336,1738
6178,1688
6190,1709
6076,1676
2286,616
0,0
0,0
