final list,gamma list
19860969,15108
70862620,57104
120392443,101445
165881056,148802
208399644,199426
247571528,252308
345140093,382894
324663366,394485
430639628,572725
390785368,570477
504427169,808176
540338319,956840
573528337,1120055
604462167,1300718
633194825,1498056
659883253,1712393
801348426,2293796
712098037,2241202
858106600,2961147
757722405,2860021
908116628,3738751
932900625,4205957
1094490232,5421022
981547948,5324217
1002530549,5899883
1171374712,7510484
1197411177,8378626
1069005043,8094954
1403597011,11530254
1275930010,11391851
1303534254,12548955
1501796315,15615291
1369495779,15330448
1585401750,19047975
1643334063,21194664
1722872176,23733175
1904240379,26877558
2298653548,32380944
2192437468,32323275
1897099896,28242122
2032723860,30229091
2151905890,31786583
1885088127,27558130
1999705458,28873001
1926950016,27413827
1858965063,26077776
1793814043,24805213
1733258898,23571699
1824175379,24403371
1759662603,23201778
1697478734,21980864
1639738620,20858074
1713651940,21463094
1652561415,20388669
1594702211,19343457
1539440121,18350914
1599919201,18700693
1543015556,17714648
1488672551,16805279
1437477197,16003824
1486523644,16342254
1433927258,15587078
1383941263,14902224
1336531669,14260315
1376244891,14504567
1328074141,13807489
1281972127,13136835
1315017243,13263727
1268288190,12649384
1224594339,12103804
1251186541,12274053
1206997717,11758840
1165192869,11274057
1186885444,11412934
1145018453,10949702
1162509160,11054075
1065926850,10080981
1083545704,10186284
1097609640,10237085
1058713216,9747311
1021772909,9276418
1032949184,9245944
996488691,8801682
962175999,8385536
971109672,8346251
977263964,8286966
942441359,7855734
909276278,7440871
914395758,7339531
882071277,6964000
884993361,6890681
854175693,6572800
824530931,6272132
856419328,6449019
797358057,5945459
825980784,6110271
768942122,5640685
795940927,5794187
766910429,5542809
740466146,5318585
738110971,5269828
734918637,5217470
709498012,5007933
705019307,4959751
681374894,4761133
676501549,4708207
672646689,4654092
647890421,4467206
644402129,4420284
637598440,4359884
616195307,4186970
609662010,4134230
604719728,4082801
597424484,4020868
576657154,3862014
570252981,3805034
562865613,3747348
557227808,3681839
536191209,3531929
542392265,3551128
522305854,3410527
514800764,3346796
509079067,3276370
489555358,3140117
493067281,3137501
485655343,3067417
466859942,2938648
470066857,2925333
453387223,2799885
452649186,2783918
438000019,2656825
438266625,2624459
421065727,2506759
421777882,2477713
414923345,2388781
398586897,2262286
397796182,2220618
391389458,2130112
388426619,2067344
373886636,1936525
373037197,1863260
366528036,1743220
356931340,1632909
354081931,1554205
347463806,1457345
340713741,1356648
331256307,1267285
328107630,1216042
325825421,1166417
319663712,1091492
310921958,1012737
306640255,960905
299769698,919541
297496346,895915
290693298,844114
288230065,808457
277635551,752700
277520332,731436
272021066,706947
268674909,667261
262720592,624401
255660960,583901
251936573,557217
250977349,550902
245980038,544770
240856688,522114
235025155,491947
230686259,465546
227059754,439197
225573782,414690
220931568,393315
218860354,375935
212696707,344791
208165978,325770
204107117,316520
201898103,306353
198708247,287971
196768374,278558
193450966,282217
188139236,277899
183957533,272182
180537000,264444
178420457,249570
174651867,233980
173743346,206485
171269272,170558
169004190,158952
164567771,148011
159836345,144469
157660855,149301
155570144,157133
152365325,175000
149647229,193884
148228440,191460
146760449,172599
144100040,125096
58450408,43842
0,0
0,0
