final list,circular list
0,0
0,0
2786262,0
115835589,0
371358230,0
630138397,0
884730408,0
1134724308,0
1381327357,0
1625078575,0
1865745666,0
2103702639,0
2291680349,0
2569457629,0
2801565477,0
3032361908,0
3262002952,0
3490975419,0
3719987452,0
3948842376,0
4178606922,0
4410273034,0
4642591287,0
4879783184,0
5118802325,0
5257074805,0
5612893471,0
5871546617,0
6140582946,0
6423638978,0
6724416869,0
7047628635,0
7402459950,0
7803869800,0
8279426032,0
8897676820,0
10152867252,988832993
11032035839,2221312225
10937047345,1261689916
10694152486,959042234
10483110015,802319019
10286107763,701087819
10099486862,628373294
9917026081,572685851
9739939602,528145321
9570019568,491403592
9400026432,460360466
9236911309,433644003
9075538784,410300171
8917510181,389652188
8594186398,364157385
8617516226,355018014
8466859270,339883008
8322397317,326053031
8176328650,313337651
8035824170,301591508
7897473924,290694823
7759532368,280540266
7625683738,271050802
7494670715,262141534
7364598029,253768745
7236294821,245870858
7111270661,238400106
6853583735,226893702
6872463182,224811654
6753371499,218407572
6635697626,212305150
6520535221,206480799
6407073129,200913773
6295629418,195584590
6186290442,190474786
6078284240,185570909
5972616894,180861661
5868172173,176329346
5765803662,171967345
5555879051,164541930
5570210155,163845088
5472260485,159927276
5376169325,156143506
5281677725,152481449
5188586309,148940461
5097578394,145515326
5008727837,142193322
4921109723,138977152
4833063667,135859070
4747339138,132831710
4664873201,129896575
4583760511,127040164
4413858878,121876498
4423857042,121663103
4348239754,119042942
4269457780,116485532
4192181643,114004651
4121333286,111583010
4045787905,109229010
3972566578,106937486
3906137856,104696723
3831647955,102520614
3766167678,100395151
3698603201,98321712
3630042962,96301164
3501384353,92513538
3502043462,92473955
3445471017,90590055
3378135003,88755690
3322026891,86959049
3257604226,85206214
3203277349,83493512
3141485775,81826665
3088421101,80193513
3027828392,78596563
2978344864,77026438
2918819690,75502178
2816053414,72583717
2814960675,72604637
2769162545,71169527
2715295424,69771795
2666322520,68403348
2618426399,67065506
2566909376,65752090
2525897722,64469198
2474004454,63212317
2430249965,61983748
2386249665,60778223
2338590262,59598621
2300175221,58450275
2211317211,56217178
2213128793,56253995
2176146101,55166593
2130514571,54106521
2091355354,53066547
2057069261,52048840
2013729823,51045848
1975514616,50070154
1941400333,49108207
1902508488,48166014
1863583485,47248470
1832024397,46344290
1800117753,45462563
1724309955,43737186
1727979225,43773472
1697523009,42946002
1663374209,42126665
1625641607,41325827
1598666741,40539888
1570716219,39770707
1537002102,39015573
1500845265,38278903
1474096771,37556260
1447140852,36839105
1417289405,36143450
1354029800,34778279
1353493686,34815218
1328604710,34163418
1295257763,33514593
1265872024,32883638
1241174293,32258173
1218667807,31646120
1197869191,31056547
1168735026,30473127
1142542451,29895426
1121584662,29331893
1102805680,28778441
1085514115,28236841
1045478316,27175893
1038916589,27208251
1017691147,26699142
998845123,26187887
981658606,25702904
965623232,25219451
950460299,24739926
925814944,24278801
905773422,23821952
889337629,23374310
875267047,22936032
861539981,22506129
848474007,22085462
819821143,21251667
814897922,21279448
795465204,20885757
779977923,20493827
765945472,20112684
753108227,19728216
741031158,19359537
729848973,18999637
719994817,18640828
702689476,18297906
684120567,17947851
671281068,17617297
647566792,16949996
650508504,16975029
640398125,16664342
630681610,16346156
621604674,16035581
612740445,15738898
604435498,15445537
233501913,6010449
0,0
0,0
