final list,gamma list
207594,8420
131594,5333
91364,3706
73564,2976
62566,2544
54872,2223
49104,1988
44472,1801
40706,1656
113090,15600
213212,34597
130702,19621
102382,14715
89904,12592
79918,10942
72400,9822
66374,8816
61468,8132
57248,7553
53604,6970
50376,6504
153970,88450
196058,122678
128694,72001
107486,56940
93268,47687
86434,43058
79632,38902
74182,35710
69610,32993
65678,30796
62220,28968
59166,27392
56412,25969
53910,24788
51738,23753
752438,22781
581840,21502
100114,21079
102900,33697
126806,57906
99426,40526
88226,34782
81274,31649
76122,29555
72040,28022
68670,26855
65858,25916
63458,25146
61394,24604
58512,23736
68772,25926
107860,33295
86290,29629
78300,28829
75730,29715
77034,32749
94396,47695
85322,41946
51514,16915
47320,14662
44660,13487
42568,12661
39972,11732
39196,11424
37812,10964
36464,10507
35294,10096
34166,9759
33128,9455
32110,9155
31238,8906
30348,8636
29524,8413
28778,8159
27500,7806
27310,7763
26694,7622
26056,7402
25452,7212
24876,7041
24324,6839
23822,6695
23376,6603
22916,6441
22486,6281
22150,6136
21874,5979
21184,5779
21452,5838
21438,5791
21678,5776
22416,5905
26606,6630
28556,6952
18096,4970
16752,4703
16056,4523
15476,4385
14992,4268
14590,4136
13908,3928
13826,3938
13504,3894
13170,3785
12852,3684
12540,3598
12262,3547
11996,3498
11716,3423
11456,3331
11228,3253
10958,3177
10506,3056
10516,3065
10270,2985
10072,2918
9840,2854
9638,2805
9466,2765
9244,2729
9034,2681
8852,2629
8674,2568
8498,2510
8332,2466
7992,2369
7990,2358
7832,2313
7682,2280
7514,2233
7370,2180
7228,2125
7070,2066
6940,2040
6766,1981
6682,1966
6490,1920
6414,1882
6160,1811
14768,2151
56574,3808
36126,2948
27618,2588
23626,2391
21076,2265
19284,2161
17910,2086
16802,2004
15866,1960
15056,1905
14102,1823
13780,1806
13222,1771
12710,1691
12256,1653
11848,1632
11452,1585
11124,1524
10752,1494
10404,1461
10168,1442
9818,1424
9572,1377
9180,1306
9022,1308
8894,1297
8576,1283
8408,1268
8232,1235
7932,1224
7892,1179
7498,1127
7560,1120
7152,1072
7184,1067
6850,1058
6728,1008
6582,1018
6494,995
6358,978
6174,972
6082,940
5978,958
5706,924
5808,901
5516,863
5388,854
5466,832
5052,806
5010,818
5176,793
4896,793
4708,777
4778,766
4646,744
1784,307
0,0
0,0
