final list,circular list
14620,0
16636,0
9606,0
7546,0
6360,0
5568,0
5912,0
4446,0
4864,0
3730,0
4164,0
3868,0
3610,0
3392,0
3196,0
3010,0
3330,0
2700,0
2994,0
2440,0
2722,0
2578,0
2818,0
2346,0
2262,0
2470,0
2360,0
1984,0
2436,0
2072,0
1994,0
2160,0
1846,0
1986,0
1924,0
1844,0
128548,380316
100932,297102
12290,31356
8824,21684
8482,20328
8298,19446
6866,15828
6976,15858
6502,14610
6114,13590
5778,12762
5474,12030
5684,12420
5428,11784
5192,11232
4988,10740
5166,11124
4966,10674
4790,10260
4628,9900
4788,10248
4636,9900
4476,9564
4342,9246
4486,9576
4348,9282
4210,8982
4094,8754
4238,9072
4120,8820
4000,8574
4130,8844
4006,8598
3900,8376
4016,8640
3914,8424
3798,8202
3915,8451
3809,8241
3900,8454
3612,7836
3706,8070
3806,8292
3700,8076
3612,7884
3676,8064
3590,7866
3496,7704
3570,7878
3636,8034
3546,7860
3470,7686
3552,7896
3444,7668
3486,7788
3408,7626
3338,7476
3502,7872
3310,7434
3468,7812
3272,7380
3430,7752
3356,7596
3272,7434
3306,7530
3332,7602
3266,7446
3294,7542
3218,7380
3230,7404
3266,7512
3192,7350
3212,7428
3224,7476
3162,7332
3168,7368
3186,7416
3200,7452
3130,7314
3136,7356
3152,7380
3154,7416
3086,7272
3170,7464
3090,7296
3084,7332
24850,7332
46814,7170
28582,7386
22992,7368
19734,7224
18308,7374
16662,7212
16006,7362
14938,7218
14564,7344
13802,7212
13566,7320
13170,7278
12608,7170
12540,7260
12164,7236
12178,7326
11670,7194
11650,7278
11442,7254
11256,7206
11214,7284
11006,7248
10838,7212
10682,7170
10696,7254
10654,7284
10506,7230
10390,7200
10350,7248
10214,7212
10192,7224
10058,7194
10150,7284
9908,7164
9996,7254
9890,7200
9836,7230
9818,7224
9686,7164
9734,7182
9664,7242
9550,7200
9734,7200
9472,7200
9472,7194
9562,7200
9428,7236
9488,7176
9356,7212
9468,7212
9260,7182
9356,7176
9276,7200
9268,7170
9316,7230
9212,7188
9240,7194
9208,7164
9080,7206
9422,7206
8908,7164
9312,7218
9126,7182
8974,7182
9284,7188
8934,7158
8922,7194
9524,7224
8500,7176
9422,7158
8962,7188
8762,7224
9286,7170
3802,2886
0,0
0,0
