final list,gamma list,circular list
19860969,15108,0
70862620,57104,0
120392443,101445,0
165881056,148802,0
208399644,199426,0
247571528,252308,0
345140093,382894,0
324663366,394485,0
430639628,572725,0
390785368,570477,0
504427169,808176,0
540338319,956840,0
573528337,1120055,0
604462167,1300718,0
633194825,1498056,0
659883253,1712393,0
801348426,2293796,0
712098037,2241202,0
858106600,2961147,0
757722405,2860021,0
908116628,3738751,0
932900625,4205957,0
1094490232,5421022,0
981547948,5324217,0
1002530549,5899883,0
1171374712,7510484,0
1197411177,8378626,0
1069005043,8094954,0
1403597011,11530254,0
1275930010,11391851,0
1303534254,12548955,0
1501796315,15615291,0
1369495779,15330448,0
1585401750,19047975,0
1643334063,21194664,0
1722872176,23733175,0
1904240379,26877558,159325056
2298653548,32380944,444575784
2192437468,32323275,239071518
1897099896,28242122,162220236
2032723860,30229091,149398122
2151905890,31786583,140133966
1885088127,27558130,111811452
1999705458,28873001,110095134
1926950016,27413827,99425850
1858965063,26077776,90776472
1793814043,24805213,83572896
1733258898,23571699,77455734
1824175379,24403371,78501780
1759662603,23201778,73073346
1697478734,21980864,68330568
1639738620,20858074,64136646
1713651940,21463094,65278314
1652561415,20388669,61375422
1594702211,19343457,57878094
1539440121,18350914,54722358
1599919201,18700693,55739652
1543015556,17714648,52733892
1488672551,16805279,50000838
1437477197,16003824,47501382
1486523644,16342254,48356484
1433927258,15587078,45947106
1383941263,14902224,43733634
1336531669,14260315,41693286
1376244891,14504567,42396306
1328074141,13807489,40414902
1281972127,13136835,38581854
1315017243,13263727,39132810
1268288190,12649384,37353504
1224594339,12103804,35703528
1251186541,12274053,36132012
1206997717,11758840,34534932
1165192869,11274057,33045822
1186885444,11412934,33374619
1145018453,10949702,31934535
1162509160,11054075,32164434
1065926850,10080981,29270040
1083545704,10186284,29544192
1097609640,10237085,29714226
1058713216,9747311,28462248
1021772909,9276418,27291474
1032949184,9245944,27416316
996488691,8801682,26288568
962175999,8385536,25232052
971109672,8346251,25319754
977263964,8286966,25338378
942441359,7855734,24301374
909276278,7440871,23332782
914395758,7339531,23331582
882071277,6964000,22401000
884993361,6890681,22371552
854175693,6572800,21483570
824530931,6272132,20648868
856419328,6449019,21360006
797358057,5945459,19786476
825980784,6110271,20419578
768942122,5640685,18945108
795940927,5794187,19507704
766910429,5542809,18738516
740466146,5318585,18016416
738110971,5269828,17900166
734918637,5217470,17759016
709498012,5007933,17071824
705019307,4959751,16927704
681374894,4761133,16278252
676501549,4708207,16131684
672646689,4654092,15968700
647890421,4467206,15357456
644402129,4420284,15197202
637598440,4359884,15020910
616195307,4186970,14449524
609662010,4134230,14279046
604719728,4082801,14098380
597424484,4020868,13906224
576657154,3862014,13377954
570252981,3805034,13195548
562865613,3747348,13005672
557227808,3681839,12810336
536191209,3531929,12327162
542392265,3551128,12412662
522305854,3410527,11941650
514800764,3346796,11747502
509079067,3276370,11550636
489555358,3140117,11118936
493067281,3137501,11159046
485655343,3067417,10956276
466859942,2938648,10544814
470066857,2925333,10555230
453387223,2799885,10160100
452649186,2783918,10155018
438000019,2656825,9775092
438266625,2624459,9757968
421065727,2506759,9392946
421777882,2477713,9366144
414923345,2388781,9169434
398586897,2262286,8828580
397796182,2220618,8789802
391389458,2130112,8601258
388426619,2067344,8546310
373886636,1936525,8227158
373037197,1863260,8168634
366528036,1743220,7982838
356931340,1632909,7801236
354081931,1554205,7731654
347463806,1457345,7548726
340713741,1356648,7370832
331256307,1267285,7195818
328107630,1216042,7120260
325825421,1166417,7037670
319663712,1091492,6862518
310921958,1012737,6693066
306640255,960905,6608130
299769698,919541,6441576
297496346,895915,6354162
290693298,844114,6191718
288230065,808457,6172128
277635551,752700,5943618
277520332,731436,5918040
272021066,706947,5760984
268674909,667261,5668344
262720592,624401,5574564
255660960,583901,5424396
251936573,557217,5331432
250977349,550902,5289408
245980038,544770,5142144
240856688,522114,5049768
235025155,491947,4955382
230686259,465546,4860510
227059754,439197,4767576
225573782,414690,4714932
220931568,393315,4580274
218860354,375935,4525866
212696707,344791,4432464
208165978,325770,4339290
204107117,316520,4248024
201898103,306353,4189686
198708247,287971,4099746
196768374,278558,4038318
193450966,282217,3948480
188139236,277899,3888144
183957533,272182,3799230
180537000,264444,3738138
178420457,249570,3675720
174651867,233980,3588762
173743346,206485,3549978
171269272,170558,3463734
169004190,158952,3401568
164567771,148011,3338058
159836345,144469,3257106
157660855,149301,3213684
155570144,157133,3170166
152365325,175000,3090276
149647229,193884,3027630
148228440,191460,2982720
146760449,172599,2937030
144100040,125096,2860050
58450408,43842,1150686
0,0,0
0,0,0
