final lin 0.0 0 ,final log 0.0 0 ,final power 0.0 0 ,final lin 0.5235987755982988 0 ,final log 0.5235987755982988 0 ,final power 0.5235987755982988 0 ,final lin 1.0471975511965976 0 ,final log 1.0471975511965976 0 ,final power 1.0471975511965976 0 ,final lin 1.5707963267948966 0 ,final log 1.5707963267948966 0 ,final power 1.5707963267948966 0 ,final lin 0.0 1 ,final log 0.0 1 ,final power 0.0 1 ,final lin 0.5235987755982988 1 ,final log 0.5235987755982988 1 ,final power 0.5235987755982988 1 ,final lin 1.0471975511965976 1 ,final log 1.0471975511965976 1 ,final power 1.0471975511965976 1 ,final lin 1.5707963267948966 1 ,final log 1.5707963267948966 1 ,final power 1.5707963267948966 1 
4482,4242,10628,4482,4242,10628,4482,4242,10628,5902,5588,14002,6190,5862,14686,6470,6126,15346,6744,6388,16000,6744,6388,16000
4418,4168,10780,4418,4168,10780,4418,4168,10780,5816,5488,14196,6112,5768,14916,6400,6040,15616,6660,6284,16246,6660,6284,16246
4480,4080,11032,4480,4080,11032,4480,4080,11032,5896,5374,14530,6186,5636,15240,6464,5890,15932,6730,6130,16582,6730,6130,16582
4416,4022,11280,4416,4022,11280,4416,4022,11280,5808,5290,14832,6108,5560,15596,6380,5810,16294,6638,6046,16960,6638,6046,16960
4460,3928,11462,4460,3928,11462,4460,3928,11462,5878,5170,15096,6164,5422,15828,6454,5674,16572,6712,5900,17236,6712,5900,17236
4472,3876,11702,4472,3876,11702,4472,3876,11702,5880,5096,15392,6186,5358,16186,6464,5598,16916,6714,5816,17572,6714,5816,17572
4402,3800,12002,4402,3800,12002,4402,3800,12002,5784,4996,15778,6076,5248,16580,6348,5482,17318,6590,5692,17982,6590,5692,17982
4456,3730,12136,4456,3730,12136,4456,3730,12136,5864,4904,15964,6156,5148,16760,6432,5376,17510,6676,5580,18174,6676,5580,18174
4450,3664,12434,4450,3664,12434,4450,3664,12434,5846,4810,16336,6152,5062,17192,6428,5290,17962,6670,5488,18636,6670,5488,18636
4528,3608,12672,4528,3608,12672,4528,3608,12672,5940,4730,16622,6252,4978,17498,6530,5202,18280,6772,5394,18950,6772,5394,18950
4444,3464,12910,4444,3464,12910,4444,3464,12910,5840,4556,16962,6142,4790,17834,6418,5004,18634,6648,5184,19300,6648,5184,19300
4506,3490,13242,4506,3490,13242,4506,3490,13242,5904,4568,17352,6210,4804,18256,6490,5020,19078,6732,5208,19790,6732,5208,19790
4508,3428,13450,4508,3428,13450,4508,3428,13450,5922,4504,17656,6240,4744,18600,6518,4954,19430,6744,5126,20108,6744,5126,20108
4504,3386,13868,4504,3386,13868,4504,3386,13868,5890,4428,18120,6214,4674,19126,6492,4882,19980,6712,5048,20656,6712,5048,20656
4564,3326,14088,4564,3326,14088,4564,3326,14088,5984,4358,18456,6310,4594,19462,6592,4798,20330,6828,4972,21066,6828,4972,21066
4552,3270,14422,4552,3270,14422,4552,3270,14422,5954,4278,18858,6280,4514,19896,6560,4716,20784,6774,4870,21458,6774,4870,21458
4558,3218,14732,4558,3218,14732,4558,3218,14732,5938,4196,19198,6270,4428,20272,6552,4626,21176,6782,4788,21918,6782,4788,21918
4554,3186,15096,4554,3186,15096,4554,3186,15096,5942,4160,19712,6284,4400,20848,6562,4596,21776,6780,4748,22498,6780,4748,22498
4634,3144,15548,4634,3144,15548,4634,3144,15548,6038,4098,20264,6400,4344,21486,6692,4542,22468,6894,4680,23150,6894,4680,23150
4684,3110,15898,4684,3110,15898,4684,3110,15898,6088,4042,20656,6452,4282,21898,6742,4472,22876,6982,4632,23688,6982,4632,23688
4682,3058,16276,4682,3058,16276,4682,3058,16276,6080,3966,21132,6448,4206,22416,6738,4394,23422,6944,4530,24144,6944,4530,24144
4700,3032,16772,4700,3032,16772,4700,3032,16772,6086,3924,21712,6478,4178,23112,6766,4366,24146,6966,4496,24864,6966,4496,24864
4796,2956,17262,4796,2956,17262,4796,2956,17262,6196,3818,22296,6614,4076,23800,6924,4266,24916,7138,4398,25684,7138,4398,25684
