final list,gamma list,circular list
229774821,174103,0
734126178,593130,0
1226747250,1036517,0
1689902053,1518392,0
2128092675,2038706,0
2540677539,2593922,0
2931404279,3250676,0
3300600139,3996941,0
3648741075,4835324,0
3978097308,5795005,0
4289563222,6874790,0
4584049666,8094168,0
4764727277,9255146,0
5120999834,10951496,0
5370741689,12651652,0
5607329492,14542333,0
5832117824,16643847,0
6045601359,18964573,0
6248254024,21522316,0
6442684687,24349068,0
6628202982,27445473,0
6806604287,30847693,0
6978369729,34575312,0
7146501907,38663371,0
7308220483,43097481,0
7322767109,46997019,0
7627424914,53193301,0
7787922616,58969545,0
7952804549,65295644,0
8124870028,72241420,0
8306412329,79840912,0
8503929781,88221034,0
8725728720,97531036,0
8985967825,108013595,0
9311002989,120059757,0
9767216218,134591245,0
10846239110,152859338,1005772614
11499166733,162048456,2217325404
11198768165,164993970,1235991336
10754121703,160082308,922026696
10352441216,153925663,756999894
9975168135,147343180,649178490
9617756146,140625496,571021404
9273012260,133899546,510733200
8943729507,127293351,462246936
8628892376,121097666,422086926
8322301613,115117506,388065078
8031815142,109203678,358742520
7746899270,103600090,333114990
7477207827,98581578,310464942
7073551752,91599128,284752494
6966941301,88611865,272440566
6720919101,84166503,255972792
6486353193,80044502,240988080
6259940137,75951154,227280864
6039405115,71992818,214690272
5828847262,68132486,203082978
5625749542,64611889,192342120
5427784467,61297457,182378172
5237766710,58318267,173101554
5055202230,55578975,164454678
4878772947,53043052,156371688
4707826256,50701423,148799160
4455256397,47534498,138982284
4386930815,46237424,135144630
4234006351,44023797,128851842
4084856524,41851495,122921100
3943230977,39767022,117324456
3804182727,37938477,112037022
3671795087,36287612,107035896
3542969890,34751146,102299916
3418944264,33307047,97811664
3299346432,31919986,93555696
3183739503,30610632,89514066
3072184442,29376765,85675302
2907446120,27646536,80450586
2862788445,27077024,78619272
2762274826,25966931,75311466
2665561034,24859518,72161484
2572297308,23687087,69157854
2481943911,22534547,66294906
2394922541,21438165,63565164
2310609170,20410617,60958266
2229795804,19430466,58470900
2151669858,18488235,56095494
2076084416,17602597,53825004
2003126973,16699594,51656262
1932354589,15813563,49580316
1829410717,14686778,46680036
1800525545,14219343,45731250
1737025605,13527199,43913778
1676610938,12904560,42170826
1617339564,12302898,40504722
1559915033,11746897,38906676
1506176899,11231003,37377222
1452650558,10746326,35912196
1400585804,10274430,34505478
1352963784,9849086,33159588
1304151936,9427096,31867914
1258900230,9042629,30629034
1214031897,8667814,29441394
1148654981,8154915,27757164
1131521040,7987769,27229032
1090288504,7670500,26177988
1053478854,7362660,25170678
1014895921,7063225,24202290
980340323,6782944,23273190
944182191,6510108,22381044
912775635,6261198,21526104
878768029,6009335,20703930
849179149,5770090,19914072
817795298,5545566,19153110
790378689,5335931,18424764
746782331,5026155,17382996
735471052,4926031,17064468
709427375,4733451,16415928
683513966,4550593,15794076
661035926,4367815,15196188
636006060,4189554,14621754
614782551,4025140,14068662
592129542,3866154,13537500
570844262,3711200,13026594
552487349,3556031,12535740
531142388,3406656,12063216
513022350,3264479,11608986
495286665,3128089,11173458
466902652,2939118,10546614
461184604,2870489,10357152
444851634,2747056,9967956
427629906,2630292,9594504
413769078,2510264,9234996
399239073,2390841,8889348
383532269,2283534,8555832
370883887,2178861,8236140
358735383,2065369,7927602
344527915,1955526,7630824
332473025,1855784,7346178
321818955,1750923,7071522
309413715,1646513,6807906
292107250,1513177,6427668
288321591,1440670,6313302
279079474,1327876,6078708
267753330,1225373,5851788
258017160,1132678,5633730
249643909,1047564,5423754
241387652,961403,5221842
231418846,885204,5027376
223060907,826451,4840674
215778870,772318,4660920
209011293,713800,4486848
200702005,653649,4320210
189316568,593263,4079682
186516836,572295,4008024
180670225,544247,3859806
174453310,506638,3716046
167079576,468681,3578244
160929143,436434,3444870
155542590,410112,3316626
150804654,391852,3194274
145769197,362073,3075948
139575223,331793,2961486
134411713,306974,2851596
129752896,286965,2745732
125458204,275426,2643930
119427699,264480,2497242
117044717,253765,2453694
112056813,234551,2362980
107955597,217954,2274606
104333024,201780,2190942
100921071,185542,2109732
97984934,174428,2031108
94593918,162523,1956162
90397206,146541,1883640
87016293,136119,1813854
83929734,130148,1746726
81054377,122930,1682094
78530745,113728,1619940
74527823,105486,1529778
73651093,107410,1503276
70053922,103480,1448010
67505154,99874,1394400
64843857,94992,1343004
62757155,87771,1292820
60592449,81183,1245054
58681127,69715,1199172
57090589,56853,1154634
55249295,51968,1112304
52780159,47442,1070724
50618645,45745,1031448
47775404,45196,973914
46963033,47419,957204
45459357,52086,922200
43871450,56841,887760
42475671,54868,854688
41130015,48427,823266
39944953,34715,792888
15385445,11562,302802
0,0,0
0,0,0
