final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,535509,1002761
0,0,0,0,0,0,0,0,0,0,1616278,3502400
0,0,0,0,0,0,0,0,0,537101,2940026,4296609
0,0,0,0,0,0,0,0,0,345265,1671202,2577448
0,0,0,0,0,0,0,0,205567,656700,2627994,3893037
0,0,0,0,0,0,0,0,1253501,1819656,5327230,6246212
0,0,0,0,0,0,0,0,527549,992015,3065794,3689659
0,0,0,0,0,0,0,309843,877192,2200542,4127260,4576602
0,0,0,0,0,0,0,2824407,3053456,3900201,5917066,6772965
0,0,0,0,0,0,0,1157782,1863237,2839332,4157110,5042262
0,0,0,0,0,0,0,1425039,1931693,2961319,5492002,6170393
0,0,0,0,0,0,927340,1987811,2093281,2912564,5626327,6041242
0,0,0,0,0,0,2317554,3222805,3551553,4061192,5951891,6666898
0,0,0,0,0,363573,1728315,3355339,3615631,4673316,6287405,6752468
0,0,0,0,0,2704410,5225143,7107086,9540458,12534612,14088603,14527597
0,0,0,0,0,1619860,2853660,4719086,6164224,7191661,8853311,9475186
0,0,0,0,0,1411308,3338623,4816397,6784308,7669460,9144846,11055246
0,0,0,0,2429790,3610258,5010621,8253525,9614884,10698439,12320090,15407774
0,0,0,0,3131862,4420785,5331608,7173751,8574114,9936667,10882116,14535955
0,0,0,0,2029402,5815178,6739135,8083778,8795999,10100842,11397327,14045221
0,0,0,120793,2534265,3966070,5785527,6992064,7950846,9194795,10287703,14439042
0,0,0,2567498,4645854,5676674,9092111,10579437,11280713,17256882,18376058,20801072
0,0,0,745852,3200716,4265963,6265714,8952015,9740254,13628515,15014550,17578864
0,0,0,3517723,5975771,6944901,8726548,10275763,11139622,13866519,14578939,16513418
0,0,203975,3440710,5178577,5898559,7694335,9006740,11595730,13239072,14450982,17054300
0,0,4453023,8124374,10226809,11255838,13058181,14994650,18008903,20257802,21226733,22977734
0,0,2742220,4265366,6033083,8688340,10051689,11755129,14761621,16824455,17935870,19841295
0,0,2725106,4719683,6071689,8927538,10411481,11475335,13302354,14817142,15816321,17554586
0,106465,2513967,3933434,5663341,8369343,9824431,10976243,13934776,15500707,16260887,17434589
0,3167682,5382353,6870674,7950647,9154597,10640530,12039102,13648216,15198625,15986466,17286334
0,2005721,4309345,5680057,6928981,8548045,9436779,10724309,12240888,13675678,14269295,15480807
0,5716275,7120220,8461281,9834978,11043704,12586551,13642445,15468867,16756994,17678165,18808286
0,2891271,5304544,6496156,8070445,9433197,10807093,11709757,13152706,14388297,15583093,17186436
378100,3572249,6605009,7766572,9511404,12663763,13934577,15298921,16566352,18106413,18981217,20289841
2422029,4820775,7075445,9519165,10629386,12478295,13511901,14372974,15915025,17122756,17766322,18832763
1108032,3473545,5227133,7361806,8592820,10423421,12016615,12985148,14324020,15379914,16272827,17154795
676401,3737419,6479440,8462674,9717369,11444689,12104772,13389715,14395859,15870449,16632221,17814480
985846,8768139,11116339,13404441,14652967,16488543,17376481,18486105,20008455,20980371,21699955,22794057
554215,5657968,7773338,9817864,10979825,12642072,13614187,14692966,15933930,17125940,17919552,18787988
273028,5893783,8050346,9620257,10693862,11954726,12971218,14284419,15503095,16623465,17366332,18131885
553817,7400213,10131289,12190342,13123453,14467698,15488369,16699483,18046713,19344591,20042285,21033305
420885,5887216,8282579,9975671,10729483,12084872,13090419,13974377,14856345,16356606,16964949,17597968
305067,4055421,8262082,9845923,10937438,12287056,13268126,14155069,15436430,16349442,16991018,17914179
652521,3248277,6439242,7983283,9061465,10390188,11244694,11913931,13158477,14225714,14838037,15888558
499490,2217457,10264619,12262380,13504538,15642793,16593217,17474588,18613465,19496229,20182978,21269120
218104,2397353,6256958,7881992,8961567,11468967,12406058,13349318,14637047,15543094,16415311,17279170
206363,2706997,5727618,9117185,10197158,12238301,13473295,14388098,15178924,16194819,16750228,17818261
264272,1999950,3992935,7654734,8864057,10966293,11646077,12962860,14359243,15381904,15931542,16911617
475610,2709982,5703738,10000546,11209670,12976193,13748711,14567596,15712841,16876593,17450907,18302826
428049,2647894,5796074,9607123,10584014,12476703,13355686,14356656,15449166,16364765,16948034,17798361
325166,2533668,5412203,10520135,11768263,13796272,14596053,15551452,16676996,17487921,17962934,18755750
254919,2496455,5862142,9093504,11336234,12974800,13853385,14814356,15905871,16860076,17480757,18186610
437402,2700629,6862515,10045918,11943184,13720055,14690976,15841594,16847141,17697468,18178650,18874155
395811,2182433,4331036,9582646,11055246,12980372,13922637,14942512,16027261,16885150,17560755,18329492
255715,2476555,4543369,6224919,8774706,10875549,11895026,12740378,13815177,14684409,15269867,16060693
297505,2623218,4492226,5509713,8860475,10199745,10995148,11878708,12843858,13779556,14335960,15122607
362180,2826397,4772617,6268898,10363920,12210242,13122060,14138154,14877638,15624485,16120791,16776297
350041,3683888,6033083,7113454,10788586,12524264,13396481,14370387,15559014,16216709,16789829,17539661
228054,2208303,4229944,5427924,8091539,9549811,10549388,11667967,12669335,13466529,14047808,14647992
176712,2240143,3925872,4956493,7624088,9305240,10491081,11685678,12624162,13366432,13925224,14687991
388647,2224422,4042884,5594089,7834829,9342453,10757144,12054226,13028331,13821545,14450584,15052161
402179,1588219,4556304,5823536,7145493,8693116,10801123,11891842,12859181,13596078,14096165,14754855
514813,1681948,4993905,6157259,7502101,9751398,11947960,14066713,15088777,15780103,16208152,16859479
301684,1422651,4029750,5291012,6683813,9306235,10970074,12324667,13202655,13972785,14481230,15107085
276809,2014278,4754110,6097957,7411158,11792939,14961616,15915025,16789829,17595381,18098254,18752964
250541,2039750,4357702,5946518,7217531,9638963,11818411,12934005,13639062,14314269,14851370,15448967
567946,1780055,3032362,4520484,5593492,6809581,8103678,8870624,9719956,10449092,11034152,11707170
409741,1951394,3324494,4780179,5875077,6929578,8108454,8981467,9840152,10523518,10981616,11625978
365165,857491,2746797,4326459,5470112,6400835,7425884,8476405,9231013,10008506,10414665,11052062
196413,580682,2116365,4361284,5404442,6484216,7600009,8335314,9201760,9987014,10362726,10916145
279794,961170,2136663,3282107,4533220,5401656,6511877,7206984,7842590,8648938,9145642,9706623
292530,926743,2426407,3728464,4937986,6051789,7161015,7924976,8768537,9426630,9917961,10475161
220293,1060272,1893485,3629760,5057983,6095370,7232257,8216710,9060868,9916170,10384417,10935050
451929,1654088,2310589,4512524,5685828,6563020,8216909,9433993,10234968,10919329,11453246,12011043
213925,1507226,2640929,3414840,4510136,5353100,8630232,10757542,11539015,12277504,12740776,13223749
340688,780677,1126937,2150991,3414243,4190144,6156264,7824680,8560980,9240565,9693489,10261037
417104,739484,1060073,1779856,3191761,4071341,5900947,8264669,8943657,9638963,10170094,10752766
441581,674411,986642,2273575,3480112,4917290,6768189,7658515,8201984,8823461,9291111,9790999
406756,796995,1142857,2353573,3409865,4622969,6538145,7230665,7902688,8511230,8868435,9315389
355812,712818,1155792,2042934,3363100,4148553,6092584,6836446,7552448,8226461,8677793,9186437
276411,587249,1249123,3118131,4677694,5914877,7318623,8029849,8732916,9295489,9700852,10204720
396010,712619,1064252,1721549,3246287,4320091,5655978,6162433,7725976,8380686,8776298,9306434
377702,578493,578493,1222656,2873361,3309370,4850426,5583343,6942513,7518021,7924180,8420287
344867,565757,565757,1207930,2075371,2542225,4494415,5221362,6240441,6847391,7247978,7735130
493719,685157,685157,1310614,2257058,2661227,4048854,4673117,5826322,6455560,6848784,7333946
313624,765752,765752,1684535,2625407,3006293,4039899,4755702,5558269,6124424,6479241,6923807
387254,692122,692122,1764732,2527101,2841322,3879505,5169025,6055371,6631675,7054550,7496529
476605,856098,856098,2232581,3188179,3476331,4409641,5978159,6956642,7672644,8091141,8581676
432825,795801,795801,1438372,2375065,2824606,3874729,5146140,5972189,6637446,7035048,7522399
345265,679983,679983,981866,1847715,2299843,3310365,4622372,5447227,6083629,6486803,6961816
287754,563369,563369,951817,1909604,2309793,3333250,4471729,5545135,6133379,6591477,6994452
567349,882963,882963,1327330,2240939,2578443,3574438,4698390,6356259,6927986,7325787,7817118
466058,820477,820477,1236785,2345414,2673167,3743190,5155294,6298151,6987288,7328971,7768363
568941,812517,812517,1322355,2437551,2728290,3832541,4582373,5669709,6210790,6582522,7041416
519589,887540,887540,1525733,2516355,2948782,4271336,5087236,6207407,6832267,7260316,7626078
468048,799184,799184,1982836,3010273,3426382,4897589,5550707,6827491,7546279,7927762,8356806
435611,701674,701674,842168,2198552,2664610,3412850,4113529,5205044,5913683,6304121,6678042
569936,823860,823860,976294,2428198,2922713,3609661,4299594,5291211,5973184,6327006,6694559
860675,1162160,1162160,1274993,2269197,2753165,3618616,4299594,5401059,6088405,6413173,6801621
769931,1068630,1068630,1196587,1883535,2301037,3143603,3885077,5068331,5718862,6092584,6503320
942862,1298475,1298475,1464839,2268600,2541429,3529265,4265565,5350115,5922638,6287405,6662520
884754,1100868,1100868,1259869,2249894,2693863,3568468,4394517,5933782,6544314,6921817,7304494
1490709,1842541,1842541,2009900,2947986,3396134,4451829,5121265,6561229,7081017,7471455,7785676
791025,1101664,1101664,1292306,2121937,2534066,3451058,4247655,5550707,6133180,6502325,6872067
0,369145,369145,531131,1493694,1918957,3276933,3932041,5325439,5882042,6253575,6630879
0,368349,368349,575707,1889306,2461033,3678117,4390935,5709708,6238451,6610581,6967388
0,377105,377105,535111,1530310,2080744,3436531,4148553,5485037,5959652,6367602,6764209
0,416706,416706,622671,1147036,1795577,3395338,4108156,5427128,5924827,6288997,6656948
0,408149,408149,557598,1103455,1788612,3020621,3831347,5215790,5756871,6081440,6455759
0,440586,440586,605756,1183254,1951394,3064799,3857615,5220964,5737568,6065122,6413969
0,305664,305664,481779,1188826,1988408,3519315,4296211,6016566,6478047,6827093,7179124
0,479988,479988,687346,1286734,2237556,4006666,4774607,6963209,7496330,7881395,8240192
0,456108,456108,683366,1398373,2446904,2934255,3781995,5301957,5787119,6140742,6477052
0,403970,403970,653914,1401756,2720529,2936046,3761697,4661973,5208825,5532797,5876868
0,501679,501679,762170,1603542,2703216,2940822,3698614,4795104,5318275,5655978,6008606
0,473421,473421,831820,1574289,2050894,2261237,2935648,4125071,4673316,5058182,5399467
0,515808,515808,1400761,2375264,2771672,2973259,3922887,5284047,5789507,6146314,6431083
0,503072,503072,854904,2092684,2852267,3111763,4154125,5273301,5859754,6191288,6496952
0,616104,616104,616104,1564737,2065421,2304022,3438322,4403870,4911718,5286037,5595482
0,711624,711624,711624,1126539,1126539,1395786,2467003,3349767,3930449,4293823,4581975
0,1208129,1208129,1208129,1640755,1640755,1981045,3342802,4318698,4945946,5283848,5570209
0,985647,985647,985647,1401159,1401159,1769110,2687694,3777020,4754309,5132608,5439068
0,264272,264272,264272,649934,649934,976493,2069003,3309569,4392726,4748339,5054003
0,221885,221885,221885,625656,625656,971717,2226014,3507773,3954329,4314917,4599686
0,348051,348051,348051,782468,782468,1258078,2528295,4089450,4417203,4790328,5129424
0,390040,390040,390040,821273,821273,1499863,2084923,4622173,4939180,5284644,5603243
0,536902,536902,536902,945051,945051,1227233,1709012,2779433,3134449,3500808,3801099
0,1006741,1006741,1006741,1401955,1401955,1485137,1842740,2470585,2808487,3192955,3524489
0,119798,119798,119798,548444,548444,630034,1190219,1900848,2260441,2650879,2959727
0,0,0,0,446357,446357,544066,1085147,1826820,2191985,2590383,2888286
0,0,0,0,480983,480983,585259,1058481,2084326,2476953,2859431,3166090
0,0,0,0,455312,455312,532524,1259272,1784632,2222432,2609089,2891470
0,0,0,0,487749,487749,573717,1268824,1944230,2454068,2864207,3175244
0,0,0,0,449740,449740,565359,1370314,2151588,2869978,3308972,3608467
0,0,0,0,437800,437800,523768,1138280,2062038,2445312,2824407,3101813
0,0,0,0,444765,444765,542275,903659,1707221,1945026,2351384,2673366
0,0,0,0,681376,681376,787642,1235591,1911793,2152384,2559737,2850874
0,0,0,0,979876,979876,1066839,1470610,1599761,1865426,2248501,2519937
0,0,0,0,502475,502475,612323,966344,1106042,1382055,1803537,2092286
0,0,0,0,212731,212731,308251,759981,878187,1175493,1606726,1868809
0,0,0,0,193627,193627,302281,941668,1054899,1378075,1788015,2062635
0,0,0,0,183876,183876,276809,1187234,1336484,1787816,2265018,2529489
0,0,0,0,190642,190642,310241,768538,929131,1478570,1937464,2228203
0,0,0,0,207756,207756,328350,593816,733315,918982,1402154,1680157
0,0,0,0,206761,206761,306460,614313,749633,999179,1470610,1723937
0,0,0,0,242382,242382,380687,707246,849929,1121365,1576279,1826422
0,0,0,0,229845,229845,398995,1016691,1168528,1528519,2005124,2240740
0,0,0,0,239795,239795,354021,863461,980274,1316385,1825029,2062834
0,0,0,0,250342,250342,383672,383672,513818,641576,1175692,1439168
0,0,0,0,193627,193627,337703,337703,479391,622671,1290515,1527524
0,0,0,0,227457,227457,365364,365364,513818,717594,1615482,1851297
0,0,0,0,269446,269446,460884,460884,610930,932315,1837168,2085321
0,0,0,0,220094,220094,409144,409144,546852,783861,1477177,1730703
0,0,0,0,223676,223676,449143,449143,612522,612522,1298276,1572697
0,0,0,0,212930,212930,474615,474615,635009,635009,1255093,1487127
0,0,0,0,251138,251138,517599,517599,666849,666849,1325738,1553991
0,0,0,0,221089,221089,774707,774707,958185,958185,1595383,1825626
0,0,0,0,230840,230840,426855,426855,588045,588045,1326733,1556976
0,0,0,0,221288,221288,221288,221288,396607,396607,1073008,1319967
0,0,0,0,204174,204174,204174,204174,390040,390040,1273401,1502251
0,0,0,0,236611,236611,236611,236611,469640,469640,1034203,1249521
0,0,0,0,172533,172533,172533,172533,409741,409741,918982,1154598
0,0,0,0,244173,244173,244173,244173,526554,526554,1077983,1292505
0,0,0,0,227457,227457,227457,227457,595010,595010,1139076,1366135
0,0,0,0,211935,211935,211935,211935,742867,742867,1353001,1582846
0,0,0,0,253725,253725,253725,253725,366757,366757,1003955,1210915
0,0,0,0,216114,216114,216114,216114,278003,278003,1244347,1467625
0,0,0,0,223278,223278,223278,223278,285963,285963,996990,1205542
0,0,0,0,213328,213328,213328,213328,277804,277804,668043,893510
0,0,0,0,205169,205169,205169,205169,271635,271635,771324,1000572
0,0,0,0,234820,234820,234820,234820,302679,302679,932116,1126539
0,0,0,0,214323,214323,214323,214323,278799,278799,1161762,1367329
0,0,0,0,246959,246959,246959,246959,319196,319196,661277,852516
0,0,0,0,212532,212532,212532,212532,278998,278998,471033,662471
0,0,0,0,218502,218502,218502,218502,286759,286759,623268,832417
0,0,0,0,169946,169946,169946,169946,244173,244173,515609,744658
0,0,0,0,249148,249148,249148,249148,309843,309843,353822,530136
0,0,0,0,246561,246561,246561,246561,308251,308251,352429,575309
0,0,0,0,220492,220492,220492,220492,301883,301883,351832,544862
0,0,0,0,258302,258302,258302,258302,321982,321982,379095,569936
0,0,0,0,248750,248750,248750,248750,331932,331932,374717,575508
0,0,0,0,204771,204771,204771,204771,281187,281187,322380,467849
0,0,0,0,222880,222880,222880,222880,286759,286759,351633,575508
0,0,0,0,210542,210542,210542,210542,294918,294918,338300,520385
0,0,0,0,182085,182085,182085,182085,264272,264272,309047,467053
0,0,0,0,223875,223875,223875,223875,299694,299694,350638,594015
0,0,0,0,213328,213328,213328,213328,300888,300888,352031,512425
0,0,0,0,242780,242780,242780,242780,324569,324569,364369,544862
0,0,0,0,218303,218303,218303,218303,297107,297107,356011,556603
0,0,0,0,202781,202781,202781,202781,298898,298898,340887,579687
0,0,0,0,198204,198204,198204,198204,294520,294520,333325,449939
0,0,0,0,218900,218900,218900,218900,315415,315415,362976,555807
0,0,0,0,176712,176712,176712,176712,286361,286361,333325,543071
0,0,0,0,215915,215915,215915,215915,328151,328151,385264,544663
