final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
1051717,7697282,298209,1051717,7697282,298209,1051717,7697282,298209,1051717,7697282,298209,1053511,7710388,298721,1064051,7787790,301795,1064051,7787790,301795,1064051,7787790,301795,1064913,7794086,302041,1066223,7803652,302415,1066223,7803652,302415,1066223,7803652,302415
946316,6884221,271488,946316,6884221,271488,946316,6884221,271488,946316,6884221,271488,947986,6896375,271966,953812,6938573,273658,953812,6938573,273658,953812,6938573,273658,954638,6944583,273896,955876,6953591,274252,955876,6953591,274252,955876,6953591,274252
1011400,6319384,380735,1011400,6319384,380735,1011400,6319384,380735,1011400,6319384,380735,1013182,6330508,381407,1018078,6360974,383273,1018078,6360974,383273,1018078,6360974,383273,1018976,6366616,383611,1020310,6374956,384113,1020310,6374956,384113,1020310,6374956,384113
957894,6119474,358165,957894,6119474,358165,957894,6119474,358165,957894,6119474,358165,959560,6130118,358789,963504,6155418,360259,963504,6155418,360259,963504,6155418,360259,964364,6160938,360581,965618,6168994,361053,965618,6168994,361053,965618,6168994,361053
803497,5853891,229483,803497,5853891,229483,803497,5853891,229483,803497,5853891,229483,804873,5863923,229877,807827,5885453,230719,807827,5885453,230719,807827,5885453,230719,808553,5890729,230925,809599,5898359,231225,809599,5898359,231225,809599,5898359,231225
992151,5616281,331920,992151,5616281,331920,992151,5616281,331920,992151,5616281,331920,993827,5625767,332480,997147,5644591,333606,997147,5644591,333606,997147,5644591,333606,998037,5649625,333904,999317,5656859,334330,999317,5656859,334330,999317,5656859,334330
849134,5421575,320279,849134,5421575,320279,849134,5421575,320279,849134,5421575,320279,850542,5430561,320811,853154,5447297,321803,853154,5447297,321803,853154,5447297,321803,853910,5452129,322089,854988,5459009,322495,854988,5459009,322495,854988,5459009,322495
820868,5240629,308475,820868,5240629,308475,820868,5240629,308475,820868,5240629,308475,822204,5249175,308979,824562,5264247,309873,824562,5264247,309873,824562,5264247,309873,825288,5268885,310147,826316,5275433,310533,826316,5275433,310533,826316,5275433,310533
896434,5084453,398274,896434,5084453,398274,896434,5084453,398274,896434,5084453,398274,897870,5092591,398912,900282,5106301,399988,900282,5106301,399988,900282,5106301,399988,901064,5110759,400336,902162,5117003,400828,902162,5117003,400828,902162,5117003,400828
774954,4946168,290237,774954,4946168,290237,774954,4946168,290237,774954,4946168,290237,776170,4953946,290693,778136,4966496,291429,778136,4966496,291429,778136,4966496,291429,778806,4970772,291679,779740,4976730,292031,779740,4976730,292031,779740,4976730,292031
