final list,circular list
4485443,0
20159761,0
33173102,0
42764702,0
50001001,0
55598080,0
72926975,0
64828155,0
81735687,0
70745580,0
87431690,0
89955357,0
92098882,0
93759526,0
95168828,0
96371219,0
113893107,0
98689501,0
116197970,0
100406648,0
117935359,0
118899506,0
137116660,0
120999652,0
121789574,0
140274231,0
141561550,0
124899871,0
162201472,0
145958306,0
147692715,0
168722505,0
152687650,0
175433519,0
180783097,0
188347765,0
208189314,103516
251280046,267916
237364239,141093
204479605,95492
218164677,87965
230029241,82084
200962897,65203
212566834,64159
204503302,57981
196959861,52766
189811543,48426
183214577,44904
192827118,45508
185966454,42406
179482025,39675
173411582,37276
181435931,38005
175158010,35758
169275630,33771
163746909,31995
170497109,32667
164797723,30970
159442960,29466
154386185,28070
160135281,28655
154964112,27308
150087172,26085
145504676,24967
150437733,25616
145728193,24469
141327870,23390
145571312,23783
141144375,22865
136891506,22193
140614120,22357
136325956,21361
132301870,20757
135613443,21197
131549558,20059
134274226,20389
123932822,19097
126806590,18846
129186800,19289
125441451,18903
121905849,17570
124048829,18626
120476188,17400
117259578,16875
119042799,17456
120711247,16849
117434217,17306
113908117,15574
115671145,16958
112222852,15153
113742660,16552
110422609,14729
107573588,15640
112673724,14808
105715102,15341
110415813,14318
103785016,14964
108227664,14014
105250644,14819
102461011,13567
103082187,13676
103576984,14615
100931357,12544
101140308,14416
98705415,12536
98755839,12846
99346989,14130
96575795,11675
96669974,13230
97146003,13001
94149777,11414
94538180,13165
94627606,12296
94069262,11333
92161985,12770
91923210,12027
91356945,10811
91651285,12215
89291186,12440
90636427,10386
88710427,11016
88581644,12878
87686053,10439
85652225,10009
87478052,11405
86688534,12539
84253229,9369
85960727,10070
83754367,11178
84623422,12179
82313526,8968
83670029,9646
81407749,10402
82317037,12405
81465087,9121
79867024,8844
80352561,9604
79615555,11190
80213670,11311
78281456,8224
78808679,8753
77765116,9333
77142335,10799
77672664,11471
77030240,7886
76057447,8195
74975783,8635
75296255,9511
75696761,11870
74998828,9256
73965057,7550
73575428,7932
72622646,8332
72818480,9065
72331410,10997
73559295,10573
71402341,7015
71608303,7395
70638826,7671
70544133,8145
70575585,8847
70102384,10585
70328024,11131
69716411,6664
68480984,6842
67974903,7101
67706687,7441
67615973,7868
67547833,8518
68459817,9989
67785841,12139
66924030,6619
66122109,6321
65609014,6519
65119552,6747
65301920,7087
65066975,7421
65265992,7991
65645751,8793
65467106,11340
64475520,10733
63333965,5697
63108331,5882
62166678,6016
62627209,6267
61990783,6459
61947720,6736
62017255,7048
61990728,7425
62570263,8090
62527291,9158
61874704,12417
61161412,9998
60690391,5185
60158389,5343
59560079,5452
24390829,2270
0,0
0,0
