final list,gamma list,circular list
19828,231,0
13086,153,0
8948,105,0
10660,162,0
26152,520,0
17276,325,0
15734,294,0
11444,213,0
32348,1097,0
21014,687,0
19598,612,0
16702,492,0
21992,1014,0
34074,2057,0
23908,1293,0
20130,1034,0
20720,1024,0
21834,1646,0
40654,4335,0
25356,2395,0
25108,2199,0
22350,1878,0
23202,1884,0
36812,6305,0
37382,6675,0
32224,5032,0
28132,4143,0
22476,3197,0
26764,3705,0
37922,9716,0
49638,15034,0
40552,10743,0
31522,7901,0
32520,7884,0
30316,7210,0
28676,6742,0
154150,6394,380316
137238,10645,297102
47878,10155,31356
45226,10019,21684
43480,9605,20328
46342,10268,19446
49058,10577,15828
50276,11751,15858
57652,15795,14610
42290,9800,13590
33780,5870,12762
40918,6149,12030
38324,6006,12420
35270,5623,11784
33550,5433,11232
32608,5368,10740
35036,5909,11124
36936,6553,10674
43108,8144,10260
40732,4998,9900
36658,4556,10248
32528,4199,9900
30400,3966,9564
28938,3828,9246
29802,3977,9576
28896,3865,9282
28148,3796,8982
27766,3765,8754
29754,4055,9072
33032,4556,8820
32930,4560,8574
25606,3441,8844
24164,3242,8598
23240,3113,8376
32888,3370,8640
39388,3437,8424
31688,3196,8202
30645,3263,8451
28889,3112,8241
29098,3153,8454
26696,2933,7836
27356,3013,8070
28204,3123,8292
28116,3105,8076
30412,3253,7884
31856,3404,8064
24760,2843,7866
23548,2746,7704
23716,2771,7878
23972,2818,8034
23236,2731,7860
22616,2676,7686
22922,2695,7896
22332,2612,7668
22674,2651,7788
22096,2611,7626
21596,2571,7476
22782,2723,7872
21480,2582,7434
22620,2710,7812
21426,2540,7380
22588,2667,7752
22300,2677,7596
22094,2634,7434
22950,2669,7530
25684,2804,7602
25736,2756,7446
21360,2573,7542
20456,2497,7380
20428,2532,7404
20434,2538,7512
19942,2481,7350
20026,2474,7428
20106,2481,7476
19632,2438,7332
19728,2455,7368
19810,2470,7416
19862,2485,7452
19470,2445,7314
19500,2456,7356
19582,2463,7380
19604,2472,7416
19214,2425,7272
19714,2493,7464
19320,2448,7296
19326,2452,7332
19366,2453,7332
18968,2391,7170
19426,2436,7386
19444,2426,7368
19048,2362,7224
19466,2396,7374
19052,2335,7212
19502,2387,7362
19150,2353,7218
19532,2417,7344
19256,2387,7212
19678,2435,7320
19800,2437,7278
19806,2395,7170
21384,2504,7260
22866,2578,7236
19564,2507,7326
18772,2432,7194
30330,2603,7278
85090,3225,7254
58630,2919,7206
48544,2835,7284
43424,2756,7248
40246,2721,7212
38062,2668,7170
36812,2670,7254
35860,2692,7284
34752,2594,7230
33746,2548,7200
33276,2545,7248
32524,2534,7212
32202,2556,7224
31462,2530,7194
31626,2594,7284
30696,2571,7164
30882,2604,7254
30336,2590,7200
30102,2516,7230
29926,2497,7224
29664,2465,7164
29332,2449,7182
29576,2474,7242
29058,2425,7200
28938,2422,7200
28898,2416,7200
28614,2431,7194
28498,2415,7200
28696,2452,7236
28118,2411,7176
28598,2460,7212
27822,2426,7212
28420,2451,7182
27680,2438,7176
28086,2442,7200
27580,2400,7170
27992,2406,7230
27570,2393,7188
27668,2396,7194
27642,2379,7164
27318,2378,7206
27656,2389,7206
27340,2378,7164
27148,2355,7218
27582,2418,7182
27296,2396,7182
26952,2438,7188
27350,2428,7158
26884,2455,7194
27064,2490,7224
27496,2452,7176
26712,2514,7158
26884,2542,7188
27160,2476,7224
26800,2545,7170
11082,1065,2886
0,0,0
0,0,0
