final list,gamma list,circular list
28721853,21763,0
97084929,78439,0
171635570,145020,0
250140971,224754,0
333261335,319263,0
420934997,429756,0
513821532,569784,0
612069291,741200,0
715849651,948646,0
825705673,1202828,0
941963413,1509664,0
1064979800,1880461,0
1171119463,2274817,0
1331646670,2847788,0
1477541221,3480588,0
1632046438,4232632,0
1795865550,5125087,0
1969509736,6178196,0
2153517461,7417862,0
2349241649,8878573,0
2556982227,10587724,0
2778008098,12589999,0
3013200805,14929326,0
3264665637,17662205,0
3532058843,20828988,0
3744230753,24030217,0
4126068366,28775006,0
4457087919,33748723,0
4815273700,39535285,0
5204609924,46276237,0
5629325270,54108855,0
6097244606,63253724,0
6618914245,73982310,0
7211423514,86683126,0
7905397341,101935322,0
8773424314,120896894,0
10307387451,145265138,955804857
11561305914,162924133,2229307384
11911922813,175501038,1314701151
12102014206,180146591,1037591026
12325273904,183258800,901259021
12564497540,185590157,817690632
12816509312,187395891,760936442
13073381198,188775746,720047556
13340031084,189864559,689465003
13616463701,191093121,666056668
13893889048,192186000,647865625
14186170471,192880683,633627948
14476063313,193589901,622467586
14781997061,194889942,613770804
14794568050,191582614,595569284
15416223601,196077484,602847721
15733871976,197036293,599239937
16064922399,198248334,596861547
16402850021,199013946,595541466
16742271915,199576500,595158437
17095192629,199823039,595613931
17455922771,200481756,596810997
17817883170,201222236,598696021
18190756440,202539260,601181454
18574376173,204214340,604257340
18965199024,206193657,607861898
19361469624,208515355,611953428
19384816299,206822555,604711784
20193930975,212840227,622098101
20619716130,214396985,627511672
21046460996,215632018,633328030
21494412713,216768632,639531464
21938444459,218788431,646109338
22402371386,221398129,653047852
22869365349,224313691,660331368
23348004422,227454156,667956827
23837283395,230617114,675925879
24335342428,233976496,684212840
24843816678,237560921,692829984
24874467967,236528158,688289805
25912091926,245083543,711610321
26451554547,248659433,721182893
27004991249,251853571,731073203
27570692074,253885653,741255644
28144242370,255532669,751757481
28731623437,257191318,762584311
29326908329,259057352,773699638
29941667123,260912028,785146434
30567337686,262650016,796911246
31203124363,264563434,808978807
31851702256,265540080,821385713
32507388836,266026559,834073943
32559488751,261392359,830802013
33902891534,267742296,861093925
34603080893,269473726,874801159
35335556683,271971154,888774837
36062177605,274320435,903142736
36797878035,277105403,917795577
37589704302,280292496,932824507
38355281732,283742266,948213173
39124142931,287007241,963880434
39984565693,291073147,979975769
40776082266,294750965,996393631
41642779954,299118390,1013168552
42486366720,303339579,1030333606
42528512321,301932616,1027698404
44322507228,312886757,1066581111
45182911587,317875060,1084848380
46188057519,322803787,1103567213
47075666467,327625737,1122616525
48108623538,332862060,1142094342
49019961341,337991169,1161976917
50136301511,343910703,1182370781
51066206571,349209271,1203128848
52207123616,354742344,1224307521
53191978984,360701059,1245778531
54388596983,367183231,1267869539
54367299651,365914489,1265518094
56647455548,379412788,1314339551
57808787608,385712581,1337677299
58925653287,392306052,1361605311
60291094967,398375245,1385998518
61370612354,404265793,1410907935
62761285513,410914331,1436227022
63952587662,417561589,1462109377
65227408979,424059549,1488481239
66789150579,429881861,1515421897
67930629469,435695384,1542828957
69416395311,441712461,1570796986
70901186351,447791626,1599500822
70712192362,445128072,1597279850
73894796419,459933394,1659508214
75409375011,465669361,1689725910
76691867942,471721000,1720694515
78507359846,476290302,1752221692
80141316844,479925837,1784404641
81451003695,484955638,1817007747
83330423940,489547854,1850501092
85272880699,490946733,1884423705
86642750567,491780619,1919018900
88457635171,493749122,1954521073
90586113060,492852600,1990503298
92142641830,490327514,2027377630
92031082536,476740366,2025096071
96103776713,480206243,2104359107
98415222758,468265224,2143609465
99894219888,457165855,2183202716
101841588414,447077732,2223681603
104248218687,437449812,2264892804
106643358482,424741050,2306972887
108165455076,413745445,2349801765
110302261512,408674992,2393683845
112886228159,404043575,2438392965
115683892874,395075125,2483387553
117523833332,382753207,2529758684
117282699930,367529832,2527386403
122245946324,375090771,2626919356
125277796908,377384072,2676412188
127978740225,371669033,2726086915
129674050342,363753398,2777152083
132140365897,358359880,2828613723
135120495020,356266001,2881166804
138598248084,360134779,2935723590
141735895637,352054769,2990839311
143579856923,341312666,3046455718
146282844475,334085690,3103446603
149397880182,330412376,3161444199
152826102113,335508406,3220686279
153912761385,340849296,3218327200
159585149898,345997039,3345500206
161640439038,338336649,3408566730
164750982443,332619490,3471275076
168451832448,325785733,3537405325
172387943988,316932862,3603730700
177074261230,315218963,3670533151
180854967910,310729195,3740003831
182849312298,296413155,3810098717
186212999827,291291739,3881608638
190018707691,294657848,3954624915
194145836007,294448597,4029042699
199004281696,288197431,4105080069
199807705854,282806002,4101306336
208902717268,304655911,4263866677
210217294336,310522024,4345177767
214310778938,317073193,4426846432
217794554350,319054746,4510819856
223003931377,311889187,4593961319
227792212536,305200656,4680675729
233394118584,277279456,4769500967
240229910893,239230167,4858552483
245957682353,231350080,4951732215
248585298406,223443505,5042922380
252223969603,227939438,5139527322
251855421568,238257695,5134138082
261923320485,264466350,5338540423
268233127975,307333663,5441444995
273868579336,354831306,5541863102
280524995121,362368506,5644674737
287383134902,338368539,5752314069
295280943162,256620103,5861183926
120324665152,90422720,2368118001
0,0,0
0,0,0
