final list,gamma list,circular list
39656,462,0
25685,300,0
17236,202,0
20152,306,0
48518,965,0
31455,592,0
28114,525,0
20068,374,0
55670,1888,0
35492,1160,0
32484,1014,0
27169,800,0
35108,1619,0
53384,3223,0
36760,1988,0
30375,1560,0
30684,1516,0
31732,2392,0
57984,6183,0
35492,3352,0
34491,3021,0
30131,2532,0
30697,2493,0
47798,8187,0
47635,8506,0
40298,6293,0
34526,5085,0
27071,3851,0
31636,4379,0
43991,11271,0
56511,17116,0
45308,12003,0
34564,8663,0
34994,8484,0
32016,7614,0
29720,6988,0
156791,6504,386831
136992,10626,296569
46903,9948,30717
43480,9632,20847
41024,9062,19180
42911,9508,18006
44580,9612,14383
44837,10480,14142
50459,13824,12787
36325,8418,11673
28475,4948,10758
33850,5087,9952
31115,4876,10084
28102,4480,9389
26234,4248,8783
25023,4119,8242
26386,4450,8378
27300,4843,7889
31269,5907,7442
28995,3558,7047
25610,3183,7159
22302,2879,6788
20455,2669,6435
19109,2528,6105
19313,2577,6206
18378,2458,5903
17569,2369,5606
17008,2306,5362
17886,2438,5454
19488,2688,5203
19066,2640,4964
14550,1955,5025
13475,1808,4795
12718,1704,4584
17663,1810,4640
20761,1812,4440
16391,1653,4243
15557,1656,4290
14393,1550,4106
14227,1542,4133
12810,1407,3760
12882,1419,3800
13034,1443,3832
12752,1408,3663
13537,1448,3509
13916,1487,3523
10615,1219,3372
9907,1155,3241
9792,1144,3253
9714,1142,3255
9240,1086,3126
8826,1044,3000
8779,1032,3024
8394,982,2882
8364,978,2873
7999,945,2761
7673,913,2656
7944,949,2745
7350,884,2544
7596,910,2623
7061,837,2432
7306,863,2507
7079,850,2411
6883,821,2316
7016,816,2302
7706,841,2281
7578,812,2192
6172,744,2179
5801,708,2093
5685,705,2061
5581,693,2052
5346,665,1970
5268,651,1954
5191,641,1930
4974,618,1858
4905,610,1832
4834,603,1810
4757,595,1785
4576,575,1719
4498,566,1697
4433,558,1671
4355,549,1648
4189,529,1585
4218,533,1597
4057,514,1532
3983,505,1511
3917,496,1483
3765,475,1423
3784,474,1439
3717,464,1408
3573,443,1355
3584,441,1358
3442,422,1303
3458,423,1305
3333,409,1256
3336,413,1254
3228,400,1209
3237,401,1204
3196,393,1175
3138,379,1136
3325,389,1129
3489,393,1104
2930,375,1097
2759,357,1057
4374,375,1050
12044,456,1027
8144,405,1001
6618,386,993
5810,369,970
5284,357,947
4905,344,924
4655,338,917
4450,334,904
4233,316,881
4034,305,861
3903,299,850
3744,292,830
3638,289,816
3488,281,798
3441,282,793
3278,275,765
3237,273,760
3120,266,741
3038,254,730
2965,247,716
2884,240,696
2799,234,685
2769,232,678
2670,223,662
2610,218,649
2558,214,637
2485,211,625
2429,206,614
2401,205,605
2308,198,589
2304,198,581
2200,192,570
2205,190,557
2108,186,546
2099,183,538
2023,176,526
2015,173,520
1948,169,508
1918,166,499
1881,162,487
1824,159,481
1812,157,472
1758,153,461
1713,149,456
1708,150,445
1659,146,437
1608,145,429
1601,142,419
1545,141,413
1526,140,407
1522,136,397
1451,137,389
1433,135,383
1421,130,378
1376,131,368
558,54,145
0,0,0
0,0,0
