final list,circular list
2629179,0
13742941,0
25786351,0
37335066,0
48442185,0
59195061,0
84642708,0
81468668,0
110572458,0
102510783,0
135107284,0
147675712,0
160077438,0
172014516,0
183794682,0
195435548,0
241991452,0
219247238,0
269408599,0
242538157,0
296332568,0
310311431,0
371193969,0
339343485,0
353426368,0
420748205,0
438427238,0
399026539,0
534056082,0
494858121,0
515203975,0
605102577,0
562575775,0
663609172,0
701611876,0
749496217,0
848947372,422115
1049419727,1118900
1014710428,603161
894313168,417646
975716830,393414
1051521642,375228
938537206,304513
1013781180,305990
995594223,282274
978408922,262123
961744981,245369
946525393,231988
1015363508,239634
997748610,227520
980839103,216820
964955859,207425
1027713851,215275
1009648126,206119
992662181,198041
976623363,190827
1033955464,198107
1015908049,190921
998890813,184601
982709263,178679
1035393102,185276
1017540606,179314
1000622474,173911
984727764,168974
1033279330,175947
1015635845,170537
999240305,165376
1043955986,170564
1026486094,166291
1009415824,163651
1051113840,167123
1032884350,161845
1015824036,159377
1055026813,164912
1036785888,158095
1071923189,162774
1001988464,154406
1038147907,154293
1070813313,159888
1052576264,158616
1035366322,149230
1066253897,160100
1047877391,151346
1031912756,148506
1059811297,155410
1087052388,151738
1069602586,157627
1049195384,143454
1077334553,157948
1056773033,142698
1082806116,157575
1062588826,141741
1046277301,152118
1107522667,145555
1050054063,152388
1108172200,143706
1052372624,151735
1108639779,143562
1089064007,153347
1070837851,141796
1088042489,144353
1104038220,155789
1086344941,135024
1099131270,156666
1082962647,137541
1093822101,142290
1110746317,157985
1089858706,131763
1101035495,150690
1116629603,149449
1092056804,132399
1106477807,154092
1117458026,145212
1120747787,135029
1107715333,153493
1114519426,145825
1117276212,132227
1130537468,150678
1110845795,154773
1137152128,130311
1122362999,139382
1130102918,164298
1127959515,134294
1110871742,129817
1143827735,149138
1142704100,165295
1119551412,124506
1151378353,134884
1130736571,150912
1151480069,165728
1128821143,122993
1156347876,133311
1133772477,144883
1155230676,174100
1151985193,128984
1137934209,126013
1153458181,137870
1151412792,161836
1168668410,164797
1148922444,120712
1165129371,129407
1158064844,138997
1157094239,161991
1173416693,173307
1172016975,119996
1165423366,125576
1156946570,133250
1170030614,147796
1184443052,185746
1181642584,145834
1173369981,119786
1175168363,126695
1167832848,133996
1178892459,146768
1178871129,179241
1206887662,173487
1179274487,115872
1190481026,122954
1182069201,128377
1188186304,137191
1196427579,149988
1196071872,180604
1207618944,191134
1204753463,115172
1190911884,118988
1189569198,124282
1192310389,131045
1198144125,139424
1204366581,151875
1228163542,179212
1223540891,219127
1215364714,120217
1208098761,115490
1205970733,119845
1204172337,124770
1214769277,131845
1217603361,138871
1228560209,150423
1242989494,166496
1246873831,215981
1235151070,205614
1220324217,109773
1222999204,113991
1211674019,117272
1227630642,122854
1222070599,127347
1228137864,133545
1236446132,140536
1242849714,148871
1261471837,163110
1267609522,185675
1261316336,253127
1253638236,204935
1250798729,106868
1246595417,110729
1240896551,113608
510913202,47559
0,0
0,0
